OR 3504      310      741      852     1043     1312     1917     2394     3214     4443     4950     5928
OR 3505        0        0      342      524      662      775      821     1082     2208     2663     4099
OR 3506    44319    58974    63569    59635    62542    82445    90298    88303   108759   109526   129953
OR 3507    13460    26671    35412    63106    77797    90573   100307   111545   159679   172120   228385
OR 3508    43273    48370    50009    48156    49857    49964    50550    47784    55875    54019    56854
OR 3509     4203     8601    10907    11269    19767    23223    22764    23169    26896    26038    31615
PA 3601   517098   668534   740528   823778   814492   725468   664044   669278   701504   718520   772229
PA 3602   409454   505123   578411   636971   632430   635575   646616   670668   701657   736582   776763
PA 3603  2179151  2566108  2982985  3380596  3477309  3910473  4454621  4806285  4700947  4844099  5071607
PA 3604   252725   280629   295154   331613   355388   409738   493708   577055   660490   720252   800331
PA 3605   331224   365826   381566   411222   424219   435110   442984   454154   487701   500025   513777
PA 3606   175341   159840   146491   135292   141111   140134   145189   154080   170343   172003   176364
PA 3607   193968   213681   223762   205163   221620   230731   243250   256990   281001   280515   298678
PA 3608   272320   359963   412100   426682   445026   439068   431371   413252   420901   398601   390887
PA 3609  1483055  2014906  2382498  2679018  2761112  2893379  3076694  3060419  2971840  2773596  2737037
PA 3610   487779   530501   576522   601015   627473   678336   720889   731728   767511   737450   743381
RI 3701   428556   542610   604397   687497   713346   791896   859488   946725   947154  1003464  1048319
SC 3801     5519     6898     8587    10951    12624    15154    18383    20830    25004    28054    33146
SC 3802   291119   358447   402586   468341   515109   578393   637415   705562   839632   937332  1082205
SC 3803   147047   159003   168211   168167   181611   195740   204210   214352   251522   285538   337665
SC 3804   222036   259650   296260   317255   363760   396621   405638   400013   488918   533334   619456
SC 3805   174571   194087   206051   190729   192826   192505   217068   231830   262748   285821   330622
SC 3806   216614   260622   306350   308879   333587   386258   470033   528545   640463   701614   802096
SC 3807   283410   276693   295679   274443   300287   352356   429847   489384   613533   715010   806822
SD 3901     3028    20878    22696    25193    20695    20096    19711    17066    17576    16264    16914
SD 3902    22303    37015    47058    54573    45161    41616    39754    36082    32756    28598    27917
SD 3903    58650    78525    87303    88196    84161    82908    78540    75983    73670    68378    66762
SD 3904    29661    45231    35546    44737    51034    56886    70765    71709    83318    91756    99556
SD 3905     4901    11564    22844    33317    32897    35226    46589    48680    59614    62826    69498
SD 3906    17673    46394    34303    37224    30815    30987    36978    32686    33482    32655    34692
SD 3907    98316   138671   154456   158610   141028   140565   138118   127598   123078   119255   123619
SD 3908     2214    25260    31890    36142    29943    25951    24026    24156    23409    23222    22824
SD 3909   148781   173199   200451   214857   207227   217996   226380   230158   243865   253050   293062
TN 4001   581611   667449   753054   895820  1025936  1206399  1298079  1409475  1674511  1732171  1986533
TN 4002   179478   194190   207002   216348   241596   259371   254361   269684   333387   349408   413050
TN 4003   696483   712254   725552   757004   833551   888550   970699  1092211  1322262  1487457  1847614
TN 4004   557637   605686   652277   747384   814758   937398  1043950  1152317  1260960  1308149  1442086
TX 4101    23660    99224   132252   361200   398900   555535   792196   773529   867488   889448   945356
TX 4102    86377   270873   328078   435401   390444   423632   435870   389489   404445   397438   412316
TX 4103  1214247  1419678  1609608  1721852  1776169  2059459  2559137  3252157  4028071  5153272  6585992
TX 4104   766610   842527   951626   971700  1090152   985133   946515  1043668  1412677  1630462  1956322
TX 4105    38282    77267   135774   189962   208893   312777   491163   531031   677299   793748   879888
TX 4106   108614   158510   150230   204015   210432   230627   236185   248791   315813   363108   432517
TX 4107   496598   579409   694669   872377   973356  1236355  1540823  1794665  2201147  2675355  3324037
TX 4108   221022   319581   471414   738827   967661  1383167  1992812  2588392  3502335  4051609  4916511
TX 4109    70427    88712   115139   165058   197325   219501   234607   239264   312175   374375   479578
TX 4110    22873    40761    74438   164323   201492   305008   350369   335744   507741   657695   919303
UT 4201     5750     6434     9430     9681     9373     9218     7876     7059     8894    10934    12351
UT 4202     4603     5113     6751     7405     9251     9817    10251    13642    26014    48464    90176
UT 4203   150872   221906   264462   312605   341965   460456   636060   777944  1052432  1239579  1576700
UT 4204    50655    54174    61290    59158    61255    56971    50713    49878    68078    76395   104904
